event_type,n,avg_rel_1d,median_rel_1d,win_rate_1d,avg_rel_5d,median_rel_5d,win_rate_5d,avg_rel_20d,median_rel_20d,win_rate_20d,avg_rel_60d,median_rel_60d,win_rate_60d
감자,77,-2.4,-0.89,36.4,0.42,-1.68,41.1,4.6,-2.98,31.0,-8.52,-9.97,38.5
교환사채,9,0.53,0.09,55.6,3.55,3.79,66.7,2.93,1.35,77.8,-1.83,-0.97,44.4
분할,52,1.1,-0.76,38.5,-1.9,-2.24,42.3,13.74,-2.2,46.9,7.29,-8.02,45.2
소송,142,-0.53,-0.57,33.1,-2.8,-2.52,28.2,-6.2,-5.65,26.4,-9.58,-13.23,18.0
신주인수권부사채,62,0.44,-0.26,46.8,0.4,0.03,50.0,-3.57,-9.66,31.7,31.18,-13.77,25.0
유상증자,635,-0.08,-0.65,41.3,0.73,-1.59,43.3,-1.14,-5.46,37.8,-9.02,-14.53,36.3
자기주식,58,-0.48,-0.11,46.6,0.09,-0.03,50.0,8.54,-1.8,34.5,-9.79,-8.66,37.0
전환사채,679,0.48,-0.35,46.0,2.65,-0.79,45.9,-1.28,-6.99,34.1,-1.36,-13.04,29.6
합병,71,1.69,-0.17,49.3,1.48,-0.84,42.9,-2.04,-2.73,37.1,-2.95,-0.97,46.9
회생절차,14,0.39,0.25,50.0,-2.29,-2.51,21.4,-10.48,-2.81,7.7,-22.35,-14.41,0.0
